,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Unnamed: 9
808,FreshtoHome,E-Commerce,Series C,121000000.0,Bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020.0,Shan Kadavil,"Ascent Capital, Iron Pillar",
809,Credable,FinTech,Seed,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020.0,Nirav Choksi,Oaks Asset Management,
810,Railofy,Transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020.0,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",
811,Finova Capital,FinTech,Seed,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,2020.0,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",
812,Teachmint,EdTech,Seed,3500000.0,Bengaluru,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020.0,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,
813,Peel-Works,E-Commerce,Seed,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020.0,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",
814,Janani,Healthcare,Seed,200000.0,Bengaluru,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020.0,Nilay Mehrotra,9Unicorns,
815,Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",
816,Finelistings,Automotive,Seed,0.0,Delhi,A Used Luxury Car Marketplace,2020.0,Aneesh Mathur,Justdial,
817,Wellversed,Healthcare,Series A,0.0,Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020.0,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",
818,Jumbotail,E-Commerce,Series B,11000000.0,Bengaluru,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020.0,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),
819,Winzo,Gaming,Seed,2000000.0,Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020.0,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",
820,mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020.0,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",
821,Pocket FM,Media and Entertainment,Series A,5000000.0,Bengaluru,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020.0,Rohan Nayak,"Times Group, Lightspeed",
822,Snackible,Healthcare,Seed,0.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020.0,Seed,"Mumbai Angels, Murali Nair",
823,FreshtoHome,E-Commerce,Seed,16000000.0,Bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020.0,Shan Kadavil,"Ascent Capital, Iron Pillar",
824,Jumbotail,Business Development,Series B,11000000.0,Bengaluru,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020.0,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",
